	Country	Most populous city	Latitude	Longitude	Region	Latitude_numeric	Longitude_numeric	MR_3	MR_4	MR_6	MR_12	BR_3	BR_4	BR_6	BR_12
Åland Islands	Åland Islands	Mariehamm	60.0971° N	19.944° E	Europe	60.0971	19.944								
Albania	Albania	Tirana	41.3275° N	19.818° E	Europe	41.3275	19.818	1.0	1.0	1.0	1.0947247375075975e-32	1.0	1.0	1.0	4.937640920454547e-23
Algeria	Algeria	Algiers	36.7538° N	3.042° E	Africa	36.7538	3.042					1.0	1.0	0.00012433425399885088	1.0
American Samoa	American Samoa	Pago Pago	14.2732° S	170.702° W	Oceania	-14.2732	-170.702					1.0	1.0	1.0	3.192369551786741e-27
Andorra	Andorra	Andorra la Vella	42.5063° N	1.521° E	Europe	42.5063	1.521								
Anguilla	Anguilla	The Valley	18.2148° N	63.050° W	Caribbean	18.2148	-63.05								
Antigua and Barbuda	Antigua and Barbuda	St John's	17.1274° N	61.846° W	Caribbean	17.1274	-61.846					0.9999999999995245	0.9999999999999937	1.0	4.6754318314957394e-08
Argentina	Argentina	Buenos Aires	34.6037° S	58.381° W	South America	-34.6037	-58.381	1.0	1.0	1.0	7.61868075151142e-05	1.0	1.0	0.9999999999990743	1.4248162595321265e-08
Armenia	Armenia	Yerevan	40.1872° N	44.499° E	Asia	40.1872	44.499	1.0	1.0	1.0	9.576044045722496e-09	0.9999999997357343	1.0	0.006693627583851343	7.215462927230727e-07
Aruba	Aruba	Orangestad	12.5227° N	70.037° W	Caribbean	12.5227	-70.037					1.0	1.0	1.0	0.27527248114613223
Australia	Australia	Sydney	33.8688° S	151.207° E	Oceania	-33.8688	151.207	1.0	1.0	0.010691514578858854	4.768322145414486e-156	1.0	0.00012761118613024972	3.1559101583459774e-20	4.205506745464999e-11
Austria	Austria	Vienna	48.2081° N	16.373° E	Europe	48.2081	16.373	1.0	1.0	0.02850686115356218	8.224365812033671e-108	1.0	0.29918022848003123	4.7384148165535916e-26	3.845810465105416e-18
Azerbaijan	Azerbaijan	Baku	40.4093° N	49.867° E	Asia	40.4093	49.867	1.0	1.0	1.0	5.051594190903858e-20	1.0	1.0	0.9976010723943218	7.928876076844171e-06
Bahamas	Bahamas	Nassau	25.0443° N	77.3504° W	Caribbean	25.0443	-77.3504	1.0	1.0	0.0005246937714594708	1.0	1.0	1.0	0.9999999581821879	1.933244702552486e-11
Bahrain	Bahrain	Manama	26.2235° N	50.586° E	Asia	26.2235	50.586	1.0	1.0	0.998276740755561	2.674577669229619e-11	1.0	1.0	1.0	7.216714287566514e-13
Barbados	Barbados	Bridgetown	13.0971° N	59.618° W	Caribbean	13.0971	-59.618	1.0	1.0	0.7678288534505237	0.9999999999621126	1.0	1.0	0.9998642718833876	5.1447367428301e-13
Belarus	Belarus	Minsk	53.9006° N	27.559° E	Europe	53.9006	27.559	1.0	0.9999999950611772	1.0	5.101672771294458e-82	0.03385517199427095	0.9999999999999785	2.440439096677245e-05	1.6368254698609477e-18
Belgium	Belgium	Antwerp (city limit), Brussels (metropolitan area)	51.2213° N	4.351° E	Europe	51.2213	4.351	1.0	1.0	0.9895640783797186	1.6392858272987747e-85	1.0	0.8043488725496184	0.0034527731789590586	1.6114444429612046e-48
Bermuda	Bermuda	Hamilton	32.2951° N	64.777° W	Caribbean	32.2951	-64.777								
Bosnia and Herzegovina	Bosnia and Herzegovina	Sarajevo	43.8563° N	18.413° E	Europe	43.8563	18.413	1.0	1.0	1.0	2.790077625936123e-17	1.0	0.9999999960874418	0.13955314080337625	4.0100369881732794e-08
Botswana	Botswana	Gaborone	24.6580° S	25.912° E	Africa	-24.658	25.912					1.0	0.9999999999999999	0.9999999997036325	0.0016103268855880875
Brazil	Brazil	Sao Paulo	23.5558° S	46.633° W	South America	-23.5558	-46.633	1.0	1.0	1.0	0.0005546515956277303	1.0	1.0	1.0	1.827212683701039e-24
British Virgin Islands	British Virgin Islands	Road Town	18.4286° N	64.618° W	Caribbean	18.4286	-64.618								
Brunei Darussalam	Brunei Darussalam	Bandar Seri Begawan	4.8923° N	114.942° E	Asia	4.8923	114.942	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Bulgaria	Bulgaria	Sofia	42.6977° N	23.321° E	Europe	42.6977	23.321	1.0	1.0	1.0	4.908820754807999e-92	1.0	0.008449728674249346	2.9006121890609987e-22	2.4304702845829362e-36
Cabo Verde	Cabo Verde	Praia	14.9198° N	23.509° W	Africa	14.9198	-23.509	1.0	1.0	0.9999989696123985	1.2167825333794808e-05	1.0	0.9999999999999972	8.416040817823346e-05	3.125268749610024e-05
Canada	Canada	Toronto	43.6532° N	79.347° W	North America	43.6532	-79.347	1.0	1.0	1.0	2.303189782791641e-101	1.0	1.0	3.1427272211451054e-07	4.064469436969803e-104
Cayman Islands	Cayman Islands	George Town	19.2966° N	81.367° W	Caribbean	19.2966	-81.367								
Chile	Chile	Santiago	33.4489° S	70.669° W	South America	-33.4489	-70.669	1.0	1.0	3.361909836049253e-08	2.7088099357262426e-118	0.004294008586424015	2.685023763995873e-17	1.5360714753411745e-06	6.039330684265575e-16
Colombia	Colombia	Bogota	4.7110° N	74.072° W	South America	4.711	-74.072					1.0	1.0	0.9999999999999837	0.29058007981528006
Cook Islands	Cook Islands	Avarua	21.2057° S	159.7850° W	Oceania	-21.2057	-159.785								
Costa Rica	Costa Rica	San Jose	9.9281° N	84.078° W	Central America	9.9281	-84.078	1.0	1.0	1.0	6.87479589045388e-08	1.0	0.9748782149115126	2.8817357627310023e-09	2.9148655939283816e-24
Croatia	Croatia	Zagreb	45.8150° N	15.981° E	Europe	45.815	15.981	1.0	1.0	0.9999664983396822	9.644838389559401e-71	0.9999999999999747	0.8824043801555003	1.0827497443425318e-12	2.983612084399325e-20
Cuba	Cuba	Havana	23.1136° N	82.366° W	Caribbean	23.1136	-82.366	1.0	1.0	9.991241892006268e-17	0.04045712464019235	1.0	1.0	0.7037978801575544	1.7561550423772878e-221
Curaçao	Curaçao	Willemstad	12.1039° N	68.933° W	Caribbean	12.1039	-68.933	0.9999999999945478	1.0	0.9999999999999998	0.9960304791026607	1.0	1.0	1.0	4.0416751948953316e-19
Cyprus	Cyprus	Nicosia	35.1856° N	33.382° E	Europe	35.1856	33.382	1.0	1.0	5.432576473462644e-10	3.4219707019991347e-75	1.0	0.999872518685631	0.029816766909951074	1.1714489667777499e-71
Czechia	Czechia	Prague	50.0755° N	14.421° E	Europe	50.0755	14.421	1.0	1.0	0.9999995803219603	1.3242868874185651e-51	1.0	1.0	0.012871399611061766	3.749732922091809e-59
Denmark	Denmark	Copenhagen	55.6761° N	12.568° E	Europe	55.6761	12.568	1.0	1.0	0.8576343755017316	5.569517607869704e-111	1.0	1.0	8.276057503918149e-09	4.876506004205691e-77
Egypt	Egypt	Cairo	30.0444° N	31.235° E	Africa	30.0444	31.235	1.0	1.0	6.116409190949508e-27	1.3172096527024107e-06	0.9979325499972717	2.0598921894656995e-06	5.6803378333507507e-14	7.893615959969543e-16
Estonia	Estonia	Tallinn	59.4370° N	24.7536° E	Europe	59.437	24.7536	1.0	1.0	1.0	1.7573699437565843e-75	1.0	1.0	0.1949367537333954	5.340464181203079e-41
El Salvador	El Salvador	San Salvador	13.6929° N	89.199° W	Central America	13.6929	-89.199	1.0	1.0	0.005065692342036326	1.0	1.0	0.17122719655091162	1.0	3.1065234337307867e-21
Falkland Islands (Malvinas)	Falkland Islands (Malvinas)	Stanley	51.6928° S	57.851° W	South America	-51.6928	-57.851								
Faroe Islands	Faroe Islands	Torshavn	62.0107° N	6.771° W	Europe	62.0107	-6.771								
Fiji	Fiji	Suva	18.1405° S	178.4233° E	Oceania	-18.1405	178.4233	1.0	1.0	0.9999999999979508	0.9983991904763616	1.0	1.0	1.0	2.3946327725280263e-08
Finland	Finland	Helsinki	60.1699° N	24.938° E	Europe	60.1699	24.938	1.0	1.0	0.9996786942008175	2.933314806111617e-71	1.0	1.0	4.710689569717016e-10	3.771662992486653e-60
France	France	Paris	48.8575° N	2.351° E	Europe	48.8575	2.351	1.0	1.0	0.17847355604643617	3.42271638806049e-105	1.0	1.0	1.0	2.266353348621986e-37
French Guiana	French Guiana	Cayenne	4.9380° N	52.336° W	South America	4.938	-52.336					1.0	1.0	0.017729203971046534	6.782531050872357e-10
French Polynesia	French Polynesia	Pape'ete	17.5325° S	149.558° W	Oceania	-17.5325	-149.558	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.591118445359044e-07
Georgia	Georgia	Tbilisi	41.6938° N	44.827° E	Europe	41.6938	44.827	1.0	1.0	0.9999999997472395	4.7938317765749956e-21	1.0	1.0	0.03448921572714369	0.2525386659241557
Germany	Germany	Berlin	52.5200° N	13.405° E	Europe	52.52	13.405	1.0	1.0	0.9999999999841357	6.835749870471648e-83	1.0	1.0	1.6390704196668434e-11	1.2258135532680554e-46
Gibraltar	Gibraltar	Gibraltar	36.1408° N	5.351° W	Europe	36.1408	-5.351								
Greece	Greece	Athens	37.9838° N	23.727° E	Europe	37.9838	23.727	1.0	1.0	2.843881691316521e-06	7.362159374851333e-61	0.7563354485299474	2.7406022038431495e-07	0.00014702046972234607	1.2920465865434056e-30
Greenland	Greenland	Nuuk	64.1743° N	51.721° W	Europe	64.1743	-51.721					0.995785767818065	1.0	1.0	0.9562281042504495
Guadeloupe	Guadeloupe	Les Abymes	16.2714° N	61.531° W	Caribbean	16.2714	-61.531	1.0	0.999999842831884	0.6103569907813159	1.0	1.0	1.0	1.0	3.5121026021935134e-46
Guam	Guam	Hagatna	13.4769° N	144.750° E	Oceania	13.4769	144.75					1.0	1.0	1.0	8.314698358042642e-15
Guatemala	Guatemala	Guatemala CIty	14.6349° N	90.506° W	Central America	14.6349	-90.506	1.0	1.0	1.0	0.00041274029790143045	1.0	1.4079733085337012e-10	0.00043303150167598505	1.2109449991633716e-19
Guernsey	Guernsey	St. Peter Port	49.4598° N	2.536° W	Europe	49.4598	-2.536								
China, Hong Kong SAR	China, Hong Kong SAR	Hong Kong	22.3193° N	114.109° E	Asia	22.3193	114.109	1.0	1.0	8.764901237541566e-05	1.0899025744929993e-72	1.0	1.0	1.0	1.8349104631843733e-122
Hungary	Hungary	Budapest	47.4979° N	19.040° E	Europe	47.4979	19.04	1.0	1.0	1.0	1.0114025101072758e-85	1.0	1.0	3.2526350808988053e-26	8.988366809993696e-23
Iceland	Iceland	Reykjavik	64.1470° N	21.817° W	Europe	64.147	-21.817	1.0	0.9999999999998402	1.0	1.9832601861162723e-13	1.0	1.0	2.2521549675862024e-05	5.911634307505333e-33
Iran (Islamic Republic of)	Iran (Islamic Republic of)	Tehran	35.7219° N	51.389° E	Asia	35.7219	51.389					0.9999998443891667	0.9985683879987632	0.9929678879597802	0.9999998821923612
Ireland	Ireland	Dublin	53.3498° N	6.260° W	Europe	53.3498	-6.26	1.0	1.0	0.9739116992006672	8.736684596566579e-121	1.0	0.8997372323626183	0.04926351727559103	1.233419349669193e-18
Isle of Man	Isle of Man	Douglas	54.1523° N	4.484° W	Europe	54.1523	-4.484								
Israel	Israel	Tel Aviv (city limits), Jerusalem (metropolitan)	32.0853° N	34.769° E	Asia	32.0853	34.769	1.0	1.0	3.101335210024454e-07	6.735651610054124e-136	1.0	1.0	2.1651343997377733e-05	3.2618373528699683e-156
Italy	Italy	Rome	41.8967° N	12.496° E	Europe	41.8967	12.496	1.0	1.0	4.555751258845981e-06	2.5681646946995324e-92	1.0	0.012405667860292211	0.18873788842371947	3.466951312518744e-46
Jamaica	Jamaica	Kingston	18.0179° N	76.811° W	Caribbean	18.0179	-76.811					1.0	1.0	1.0	3.456762691785311e-38
Japan	Japan	Tokyo	35.6764° N	139.759° E	Asia	35.6764	139.759	1.0	1.0	0.3011588510727711	1.907258188490685e-195	0.999999999491961	0.0010338655529960386	5.1540407252841516e-14	2.4977774267061275e-66
Kazakhstan	Kazakhstan	Almaty	43.2380° N	76.851° E	Asia	43.238	76.851	0.9999999997750277	0.5535800756072488	0.6695205577447422	1.2435971317048765e-28	1.0	1.0	1.0	3.236908440983909e-17
Republic of Korea	Republic of Korea	Seoul	37.5503° N	126.978° E	Asia	37.5503	126.978	1.0	1.0	1.0	2.406010478469727e-78	0.0002830555824059187	1.0393767557946115e-09	7.947734476457114e-17	1.5475113783974256e-33
Kuwait	Kuwait	Kuwait City	29.3759° N	47.977° E	Asia	29.3759	47.977	1.0	1.0	0.09000232597250434	2.522403240128938e-25	1.0	1.0	1.0	2.2653257027103156e-24
Kyrgyzstan	Kyrgyzstan	Bishkek	42.8746° N	74.605° E	Asia	42.8746	74.605	1.0	1.0	0.1014173338800793	0.00023964967491302397	1.0	0.1041418044020092	0.001057549997575304	0.013499201720724935
Latvia	Latvia	Riga	56.9677° N	24.105° E	Europe	56.9677	24.105	1.0	1.0	1.0	1.7781595999510898e-76	1.0	1.0	0.0023035043403288116	3.7923427857772414e-48
Lebanon	Lebanon	Beirut	33.8938° N	35.495° E	Asia	33.8938	35.495	1.0	1.0	0.8884466697395049	7.119906978550365e-10	1.0	1.0	0.022230616118841015	0.7053831316262731
Libya	Libya	Tripoli	32.8877° N	13.187° E	Africa	32.8877	13.187					1.0	1.0	0.9999995485291768	1.0203313970151848e-11
Liechtenstein	Liechtenstein	Schaan	47.1667° N	9.510° E	Europe	47.1667	9.51								
Lithuania	Lithuania	Vilnius	54.6872° N	25.279° E	Europe	54.6872	25.279	1.0	1.0	1.0	1.082414255309689e-73	1.0	1.0	0.0031147975614896403	6.448972197610523e-36
Luxembourg	Luxembourg	Luxembourg City	49.6116° N	6.131° E	Europe	49.6116	6.131	1.0	1.0	1.0	5.451555433805226e-56	1.0	0.9752012873973157	0.9822258062802551	1.5062219021093357e-14
China, Macao SAR	China, Macao SAR	Macao	22.1987° N	113.543° E	Asia	22.1987	113.543	1.0	1.0	0.09477628818241542	3.5912505351256515e-26	1.0	1.0	1.0	3.025383921869608e-94
Malaysia	Malaysia	Kuala Lumpur	3.1319° N	101.687° E	Asia	3.1319	101.687	1.0	1.0	1.0	0.005753166177494559	1.0	0.9998008365001734	6.730497458585535e-06	1.2617521171953164e-09
Maldives	Maldives	Male	4.1753° N	73.509° E	Asia	4.1753	73.509	1.0	1.0	1.0	0.9999999010186257	1.0	1.0	1.0497658114513836e-18	0.05781688915447731
Malta	Malta	St Paul's Bay	35.9483° N	14.375° E	Europe	35.9483	14.375	1.0	1.0	1.6734464705610164e-13	3.415920616190377e-80	1.0	1.0	0.9999999857680851	1.6769107473520624e-32
Martinique	Martinique	Fort de France	14.6061° N	61.058° W	Caribbean	14.6061	-61.058	1.0	1.0	0.11837857083129799	1.0	1.0	1.0	0.0493195948720836	9.186737981498982e-66
Mauritius	Mauritius	Port Louis	20.1609° S	57.499° E	Africa	-20.1609	57.499	1.0	1.0	2.177210410808916e-06	7.809339226039991e-13	1.0	1.0	0.02152971238317622	3.754982366689335e-61
Mayotte	Mayotte	Mamoudzou	12.7806° S	45.228° E	Africa	-12.7806	45.228					0.9999999999997689	1.0	0.9999992679935531	1.3545065741206022e-10
Mexico	Mexico	Mexico City	19.4326° N	99.133° W	North America	19.4326	-99.133	1.0	0.9999999999813227	1.9536702187075963e-11	3.9182972388408714e-41	1.0	0.9999999970252006	0.02655463018774448	1.6857392473693608e-20
Republic of Moldova	Republic of Moldova	Chisinau	47.0105° N	28.857° E	Europe	47.0105	28.857	1.0	1.0	1.0	1.0809943143387653e-84	1.0	1.1021933696223543e-08	0.03749410100025607	0.00021382909762192163
Mongolia	Mongolia	Ulaanbaatar	47.9221° N	106.917° E	Asia	47.9221	106.917	0.9999984629352565	1.0	1.0	1.3168155698319073e-05	1.0	0.999999999999945	0.9848352644635221	0.0001584414496958949
Montenegro	Montenegro	Podgorica	42.4304° N	19.263° E	Europe	42.4304	19.263	1.0	1.0	0.9999955552463996	5.7222473726435804e-12	1.0	1.0	0.22339369532974584	1.138201442377688e-23
Montserrat	Montserrat	Salem	16.7495° N	62.2260° W	Caribbean	16.7495	-62.226								
Netherlands	Netherlands	Amsterdam	52.3676° N	4.890° E	Europe	52.3676	4.89	1.0	1.0	0.9999752524105484	7.285287599973672e-97	1.0	0.9999998010099979	2.888831649775863e-10	2.0580072498758463e-45
New Caledonia	New Caledonia	Noumea	22.2717° S	166.458° E	Oceania	-22.2717	166.458	1.0	1.0	0.9999957286372834	0.14395388975530116	1.0	1.0	8.648269646750083e-05	3.2746790569791856e-74
New Zealand	New Zealand	Auckland	36.8509° S	174.763° E	Oceania	-36.8509	174.763	1.0	1.0	0.997682964828277	1.1842564425831291e-101	0.047785643702063535	4.172449229232644e-07	1.7012465137809727e-14	4.5241179720985565e-06
Nicaragua	Nicaragua	Managua	12.1150° N	86.236° W	Central America	12.115	-86.236					1.0	0.9999996991672264	1.0	0.1854501088302986
Niue	Niue	Alofi	19.0558° S	169.917° W	Oceania	-19.0558	-169.917								
Norfolk Island	Norfolk Island	Kingston	29.0560° S	167.9602° E	Oceania	-29.056	167.9602								
North Macedonia	North Macedonia	Skopje	41.9981° N	21.428° E	Europe	41.9981	21.428	1.0	1.0	1.0	1.350483464931024e-48	1.0	0.0027032550286975607	0.5038524353680256	9.99217235330519e-43
Norway	Norway	Oslo	59.9139° N	10.752° E	Europe	59.9139	10.752	1.0	1.0	0.5344023663165325	2.3808602356087403e-44	1.0	1.0	2.65128705872595e-08	9.854368739336281e-93
Oman	Oman	Muscat	23.5880° N	58.388° E	Asia	23.588	58.388					1.0	1.0	0.9999999978264734	2.5194119179339455e-05
Pakistan	Pakistan	Karachi	24.8607° N	67.009° E	Asia	24.8607	67.009	0.21455330351761864	1.0	0.44954600059818	0.9999999999999981	1.0	1.0	0.015448539316742782	3.163435133960001e-33
Palau	Palau	Ngerulmud	7.5004° N	134.624° E	Oceania	7.5004	134.624								
State of Palestine	State of Palestine	Gaza City	31.5017 N	34.453° E	Asia	31.501	34.453					0.9999999999997241	1.0	0.9906719597864274	2.4580939959804773e-09
Panama	Panama	Panama City	8.9824° N	79.517° W	Central America	8.9824	-79.517	1.0	1.0	0.6745074246515105	1.0	1.0	0.9999998124830184	0.000346930972551273	3.2769424762354065e-78
Peru	Peru	Lima	12.0467° S	77.043° W	South America	-12.0467	-77.043					1.0	1.0	0.9999951418219404	0.9953915854716513
Philippines	Philippines	Quezon City	14.6760° N	121.044° E	Asia	14.676	121.044	1.0	0.9999999455741205	0.9999987949498086	5.279001518947436e-05	1.0	0.10322406464198805	0.0013600112580227262	2.1089411119817198e-68
Poland	Poland	Warsaw	52.2297° N	21.012° E	Europe	52.2297	21.012	1.0	1.0	1.0	3.324283004164743e-105	0.6339963841434939	0.9995218133722994	7.462881718489075e-21	1.2227477487710552e-48
Portugal	Portugal	Lisbon	38.7223° N	9.139° W	Europe	38.7223	-9.139	1.0	1.0	4.191073539595428e-11	6.878568056658229e-119	1.0	7.3605024422144015e-09	0.097689513485563	3.395291287445047e-32
Puerto Rico	Puerto Rico	San Juan	18.4153° N	66.105° W	Caribbean	18.4153	-66.105	1.0	1.0	1.5414037561845864e-05	2.0654897478249708e-25	1.0	0.5123435598673183	0.025470765366915477	3.088563064041107e-148
Qatar	Qatar	Doha	25.2854° N	51.533° E	Asia	25.2854	51.533	1.0	1.0	1.0	0.6453614430818821	1.0	1.0	1.1605271750109186e-06	1.6872767549928798e-33
Reunion	Reunion	Saint Denis	20.8785° S	55.448° E	Africa	-20.8785	55.448	1.0	1.0	1.8300946658846565e-05	0.06568295959011275	1.0	1.0	1.0	4.719379513831835e-24
Romania	Romania	Bucharest	44.4268° N	26.102° E	Europe	44.4268	26.102	1.0	1.0	1.0	1.0058667481844926e-91	1.0	0.5819137034371915	1.7554991634363264e-09	1.0388392215460188e-28
Russian Federation	Russian Federation	Moscow	55.7558° N	37.617° E	Europe	55.7558	37.617	1.0	1.0	1.0	4.5537987966987e-14	1.0	1.0	1.361568004829246e-06	3.3225247132324323e-09
Samoa	Samoa	Apia	13.8316° S	171.750° W	Oceania	-13.8316	-171.75								
San Marino	San Marino	San Marino	43.9424° N	12.458° E	Europe	43.9424	12.458								
Sao Tome and Principe	Sao Tome and Principe	Sao Tome	0.1864° N	6.731° E	Africa	0.1864	6.731					1.0	1.0	0.04244865720124561	0.05040179098541707
Serbia	Serbia	Belgrade	44.8125° N	20.464° E	Europe	44.8125	20.464	1.0	1.0	1.0	2.959759953380348e-25	1.0	1.0	0.133424650403912	5.5591507150817475e-28
Seychelles	Seychelles	Victoria	4.6211° S	55.452° E	Africa	-4.6211	55.452					1.0	1.0	0.004626197632906789	1.1569080142317849e-40
Singapore	Singapore	Singapore	1.3521° N	103.852° E	Asia	1.3521	103.852	1.0	1.0	0.06976694075536737	1.4382755262994704e-15	1.0	1.0	1.2488914589012764e-12	8.51412552051802e-78
Slovakia	Slovakia	Bratislava	48.1486° N	17.107° E	Europe	48.1486	17.107	1.0	1.0	1.0	3.881194930271396e-47	1.0	0.9999999821899422	6.843797790887263e-15	6.690415794757578e-28
Slovenia	Slovenia	Ljubljana	46.0569° N	14.505° E	Europe	46.0569	14.505	1.0	1.0	0.9999999529627687	2.244847868000854e-58	0.9999999901396955	0.7060994429566667	2.4366961925097708e-05	1.4352441952824496e-33
South Africa	South Africa	Johannesburg 	26.2056° S	28.047° E	Africa	-26.2056	28.047					1.0	1.0	0.21410332285384523	1.385960512119789e-08
Spain	Spain	Madrid	40.4167° N	3.702° W	Europe	40.4167	-3.702	1.0	1.0	2.305743227675228e-10	2.7520159391081596e-97	1.0	0.3190580334536752	0.00042381126134801464	1.1573751534810748e-17
Sri Lanka	Sri Lanka	COlombo	6.9271° N	79.853° E	Asia	6.9271	79.853	1.0	0.9999656457811297	0.4056922445245312	0.599208843990396	1.0	0.47836445629618896	1.0	1.0
Saint Bartholemy	Saint Bartholemy	Gustavia	17.8964° N	62.849° W	Caribbean	17.8964	-62.849								
Saint Helena	Saint Helena	Jamestown	15.9268° S	5.716° W	Africa	-15.9268	-5.716								
Saint Lucia	Saint Lucia	Castries	14.0110° N	60.993° W	Caribbean	14.011	-60.993					1.0	1.0	0.9999999999999997	9.861992170747852e-31
Saint Martin	Saint Martin	Marigot	18.0675° N	63.082° W	Caribbean	18.0675	-63.082								
Saint Pierre and Miquelon	Saint Pierre and Miquelon	Saint PIerre	21.3409° S	56.167° W	North America	-21.3409	-56.167								
Saint Vincent and the Grenadines	Saint Vincent and the Grenadines	Kingstown	13.1600° N	61.224° W	Caribbean	13.16	-61.224					1.0	1.0	0.032616581013652224	1.741384554962883e-86
Suriname	Suriname	Paramaribo	5.8520° N	55.204° W	South America	5.852	-55.204	1.0	1.0	0.6225993961558789	1.0	1.0	1.0	0.03600770769684278	8.623973475086858e-90
Sweden	Sweden	Stockholm	59.3293° N	18.068° E	Europe	59.3293	18.068	1.0	1.0	0.38078780701740156	4.511340112404351e-106	1.0	1.0	2.465693308762867e-13	1.5620014343273265e-129
Switzerland	Switzerland	Zurich	47.3769° N	8.541° E	Europe	47.3769	8.541	1.0	1.0	0.9999999998203286	1.2749190822235596e-86	1.0	0.918682485212322	2.271054633752977e-05	1.0636741225143505e-37
Syria	Syria	Damascus	33.5132° N	36.2768° E	Asia	33.5132	36.2768	1.0	0.9999999999999997	0.9999999999999732	0.00016706725335737476				
Tajikistan	Tajikistan	Dushanbe	38.5598° N	68.787° E	Asia	38.5598	68.787	1.0	1.0	1.4865248862793158e-06	1.0	1.0	1.0	0.3080624972910356	1.229998906800998e-07
Thailand	Thailand	Bangkok	13.7563° N	100.5018° E	Asia	13.7563	100.5018	1.0	1.0	1.0	0.01236322774886681				
Tonga	Tonga	Nuku'alofa	21.1343° S	175.202° W	Oceania	-21.1343	-175.202					1.0	1.0	0.9999999998987898	1.2723788858422457e-14
Trinidad and Tobago	Trinidad and Tobago	Port of Spain	10.6603° N	61.518° W	Caribbean	10.6603	-61.518	1.0	0.9999021816742807	1.0	1.9986912779545228e-07	1.0	1.0	0.026184903199422318	3.690970442696679e-109
Tunisia	Tunisia	Tunis	36.8065° N	10.166° E	Africa	36.8065	10.166					0.9999997403103221	4.163500008365895e-05	0.0005599651039352078	9.499878802061564e-15
Turkey	Turkey	Istanbul	41.0082° N	28.978° E	Asia	41.0082	28.978	1.0	1.0	0.013032483739841921	2.698731107836969e-33	0.030630659210229762	0.25466837149367116	3.645651734954711e-09	0.0021466162516166403
Turks and Caicos Islands	Turks and Caicos Islands	Providenciales	21.7738° N	72.279° W	Caribbean	21.7738	-72.279								
United Arab Emirates	United Arab Emirates	Dubai	25.2048° N	55.271° E	Asia	25.2048	55.271	1.0	1.0	1.0	0.9998725690042078	1.0	1.0	1.0	2.4460389859834546e-06
Ukraine	Ukraine	Kyiv	50.4504° N	30.523° E	Europe	50.4504	30.523	1.0	1.0	1.0	1.8422883156137665e-71	0.2525601336142152	0.9984080360057868	6.521282587915319e-09	2.0863009413358266e-12
United Kingdom of Great Britain and Northern Ireland	United Kingdom of Great Britain and Northern Ireland	London	51.5072° N	0.127° W	Europe	51.5072	-0.127	0.9999999999999816	1.0	0.9975065899055027	1.1430602765190602e-83	1.0	0.0006515304393534895	0.014689294794973384	2.4869419425588006e-43
Uruguay	Uruguay	Montevideo	34.9055° S	56.188° W	South America	-34.9055	-56.188	1.0	1.0	0.00023324415287588314	3.2076003279978174e-59	1.0	1.0	0.07652188103701206	1.0
United States of America	United States of America	New York City	40.7128° N	74.006° W	North America	40.7128	-74.006	1.0	1.0	0.8983333263333229	5.155662336304771e-138	0.6004353926383038	1.0	4.555651204350156e-15	9.553879183528151e-107
United States Virgin Islands	United States Virgin Islands	Charlotte Amalie	18.3419° N	64.934° W	North America	18.3419	-64.934					1.0	0.9999999994971434	1.0	1.254342909077234e-49
Uzbekistan	Uzbekistan	Tashkent	41.2995° N	69.240° E	Asia	41.2995	69.24	0.9999976546129595	0.006558256332870863	0.9944084776141462	1.0	1.0	1.0	1.0	4.1456363020488373e-19
Venezuela (Bolivarian Republic of)	Venezuela (Bolivarian Republic of)	Caracas	10.4806° N	66.904° W	South America	10.4806	-66.904	1.0	1.0	0.9999999999999974	0.5110534392155134	0.9887856956104266	1.0	1.0567226487576777e-07	7.008965044699726e-15
Guyana												1.0	1.0	0.9476806853344144	0.1162227210395927
Jordan												1.0	1.0	0.9999999989339794	1.5603168754863448e-06
Wallis and Futuna Islands												1.0	1.0	0.9354773257481224	0.02736382796052619
